assignment_id,booking_id,provider_id,assignment_date,status
1,1,3,2023-02-20,"Confirmed"
2,2,9,2023-02-25,"Confirmed"
3,3,1,2023-03-10,"Confirmed"
4,4,5,2023-03-15,"Confirmed"
5,5,7,2023-03-20,"Confirmed"
6,6,2,2023-03-28,"Confirmed"
7,7,11,2023-04-05,"Confirmed"
8,8,6,2023-04-10,"Confirmed"
9,9,8,2023-04-18,"Confirmed"
10,10,13,2023-04-20,"Confirmed"
11,11,4,2023-04-28,"Confirmed"
12,12,16,2023-05-05,"Confirmed"
13,13,10,2023-05-15,"Confirmed"
14,14,7,2023-05-20,"Confirmed"
15,15,19,2023-05-28,"Confirmed"
16,16,3,2023-06-05,"Confirmed"
17,17,12,2023-06-10,"Confirmed"
18,18,6,2023-06-18,"Confirmed"
19,19,9,2023-06-25,"Confirmed"
20,20,19,2023-07-01,"Confirmed"
21,21,14,2023-07-08,"Confirmed"
22,22,8,2023-07-15,"Confirmed"
23,23,2,2023-07-20,"Confirmed"
24,24,19,2023-07-28,"Confirmed"
25,25,16,2023-08-05,"Confirmed"
26,26,11,2023-08-10,"Confirmed"
27,27,13,2023-08-18,"Confirmed"
28,28,9,2023-08-25,"Confirmed"
29,29,1,2023-09-01,"Confirmed"
30,30,16,2023-09-08,"Confirmed"
31,31,7,2023-09-15,"Confirmed"
32,32,3,2023-09-22,"Confirmed"
33,33,8,2023-09-30,"Confirmed"
34,34,12,2023-10-05,"Confirmed"
35,35,16,2023-10-12,"Confirmed"
36,36,2,2023-10-18,"Confirmed"
37,37,1,2023-10-25,"Confirmed"
38,38,13,2023-11-01,"Confirmed"
39,39,9,2023-11-08,"Confirmed"
40,40,19,2023-11-15,"Confirmed"
41,41,14,2023-11-22,"Confirmed"
42,42,8,2023-11-28,"Confirmed"
43,43,3,2023-12-05,"Confirmed"
44,44,10,2023-12-10,"Confirmed"
45,45,6,2023-12-18,"Confirmed"
46,46,1,2023-12-25,"Confirmed"
47,47,13,2024-01-05,"Confirmed"
48,48,16,2024-01-10,"Confirmed"
49,49,19,2024-01-15,"Confirmed"
50,50,9,2024-01-20,"Confirmed"
