payment_id,booking_id,amount,payment_date,payment_method,status,is_refunded
1,1,5600,2023-02-15,"credit_card","completed",0
2,2,3100,2023-02-18,"credit_card","completed",0
3,3,8400,2023-03-02,"credit_card","completed",0
4,4,2200,2023-03-10,"paypal","completed",0
5,5,9000,2023-03-15,"credit_card","completed",0
6,6,9600,2023-03-22,"bank_transfer","completed",0
7,7,11600,2023-03-30,"credit_card","completed",0
8,8,5400,2023-04-05,"paypal","completed",0
9,9,6800,2023-04-12,"credit_card","completed",0
10,10,7200,2023-04-15,"credit_card","completed",0
11,11,4500,2023-04-22,"bank_transfer","completed",0
12,12,5200,2023-04-30,"credit_card","completed",0
13,13,10800,2023-05-08,"paypal","completed",0
14,14,10200,2023-05-15,"credit_card","completed",0
15,15,5800,2023-05-22,"credit_card","completed",0
16,16,12600,2023-05-28,"bank_transfer","completed",0
17,17,7600,2023-06-05,"credit_card","completed",0
18,18,7500,2023-06-12,"paypal","completed",0
19,19,7800,2023-06-18,"credit_card","completed",0
20,20,6600,2023-06-25,"credit_card","completed",0
21,21,12400,2023-07-03,"bank_transfer","completed",0
22,22,5800,2023-07-10,"credit_card","completed",0
23,23,12300,2023-07-15,"paypal","completed",0
24,24,4400,2023-07-22,"credit_card","completed",0
25,25,8100,2023-07-30,"credit_card","completed",0
26,26,12800,2023-08-05,"bank_transfer","completed",0
27,27,6300,2023-08-12,"credit_card","completed",0
28,28,7200,2023-08-18,"paypal","completed",0
29,29,10200,2023-08-25,"credit_card","completed",0
30,30,8700,2023-09-01,"credit_card","completed",0
31,31,13600,2023-09-08,"bank_transfer","completed",0
32,32,7500,2023-09-15,"credit_card","completed",0
33,33,6800,2023-09-22,"paypal","completed",0
34,34,11700,2023-09-30,"credit_card","completed",0
35,35,5400,2023-10-05,"credit_card","completed",0
36,36,8400,2023-10-12,"bank_transfer","completed",0
37,37,9000,2023-10-18,"credit_card","completed",0
38,38,8400,2023-10-25,"paypal","completed",0
39,39,5800,2023-11-02,"credit_card","completed",0
40,40,10800,2023-11-10,"credit_card","completed",0
41,41,30000,2023-11-15,"bank_transfer","completed",0
42,42,6200,2023-11-22,"credit_card","completed",0
43,43,8700,2023-11-30,"paypal","completed",0
44,44,12600,2023-12-05,"credit_card","completed",0
45,45,19600,2023-12-12,"credit_card","completed",0
46,46,11200,2023-12-18,"bank_transfer","completed",0
47,47,7800,2023-12-25,"credit_card","completed",0
48,48,7200,2024-01-02,"paypal","completed",0
49,49,9300,2024-01-08,"credit_card","completed",0
50,50,8400,2024-01-15,"credit_card","completed",0
